"TableName","RowCount","ColumnCount","Columns"
"LiqPurchase","0","16","code (INTEGER), tpno (INTEGER), billno (INTEGER), item (TEXT), packing (TEXT), unit (TEXT), batchno (INTEGER), qty (INTEGER), bottle (INTEGER), rate (INTEGER), amt (TEXT), brand (TEXT), Billdate (TIMESTAMP), type (TEXT), tpdate2 (TIMESTAMP), vndnm (TEXT)"
"LiqPurchaseFinal","0","19","code (INTEGER), name (TEXT), tpno (INTEGER), tpdate (TIMESTAMP), billno (INTEGER), billdate (TIMESTAMP), stampduty (DOUBLE PRECISION), cd (DOUBLE PRECISION), scheme (DOUBLE PRECISION), stocktran (DOUBLE PRECISION), carting (DOUBLE PRECISION), saleta (DOUBLE PRECISION), cs (DOUBLE PRECISION), sc (DOUBLE PRECISION), edu (DOUBLE PRECISION), total (DOUBLE PRECISION), taxamt (DOUBLE PRECISION), invamt (DOUBLE PRECISION), tpDate2 (TIMESTAMP)"
"Login","2","4","code (INTEGER), Uname (TEXT), passward (TEXT), clientid (TEXT)"
"Message","1","2","ID (INTEGER), messageText (TEXT)"
"NewBank","0","9","code (INTEGER), name (TEXT), acno (TEXT), shortname (TEXT), place (TEXT), cclimit (INTEGER), phone (TEXT), credit (DOUBLE PRECISION), debit (DOUBLE PRECISION)"
"NewCustomer","31","10","code (INTEGER), name (TEXT), address (TEXT), phone (TEXT), schedule (TEXT), card (INTEGER), discount (INTEGER), codeno (INTEGER), credit (INTEGER), debit (INTEGER)"
"NewFood","0","6","code (INTEGER), name (TEXT), stock (TEXT), packing (TEXT), unit (INTEGER), rate (INTEGER)"
"NewVendor","10","7","code (INTEGER), name (TEXT), address (TEXT), phone (TEXT), credit (INTEGER), debit (INTEGER), type (TEXT)"
"OtherPurchase","16","14","code (INTEGER), tpno (INTEGER), billno (INTEGER), item (TEXT), packing (TEXT), unit (TEXT), batchno (INTEGER), qty (INTEGER), bottle (INTEGER), rate (INTEGER), amt (TEXT), brand (TEXT), Billdate (TIMESTAMP), type (TEXT)"
"OtherPurchaseFinal","10","18","code (INTEGER), name (TEXT), tpno (INTEGER), tpdate (TIMESTAMP), billno (INTEGER), billdate (TIMESTAMP), stampduty (DOUBLE PRECISION), cd (DOUBLE PRECISION), scheme (DOUBLE PRECISION), stocktran (DOUBLE PRECISION), carting (DOUBLE PRECISION), saleta (DOUBLE PRECISION), cs (DOUBLE PRECISION), sc (DOUBLE PRECISION), edu (DOUBLE PRECISION), total (DOUBLE PRECISION), taxamt (DOUBLE PRECISION), invamt (DOUBLE PRECISION)"
"Paste Errors","0","21","code (TEXT), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), exciserate (INTEGER), purchaserate (INTEGER), bottel (INTEGER), openingstock (INTEGER), FAMILYRATE (INTEGER), VIPRATE (INTEGER), ACRATE (INTEGER), WHOLESALE (INTEGER), BRAND (TEXT), Marathi (TEXT), VENDOR (TEXT), ExcBrandName (TEXT), ExcCode (TEXT)"
